1,Year,Month,Tmax,Tmin,AF,Rain,Sun,status,Date,Tmean
481,1998,7,20.8,11.7,0,25.7,144,,01/07/1998,16.25
482,1998,8,22.6,11.1,0,16,201.5,,01/08/1998,16.85
483,1998,9,19.4,11.9,0,104,121.5,,01/09/1998,15.65
484,1998,10,14,8.1,1,77.3,102.2,,01/10/1998,11.05
485,1998,11,8.4,2.4,6,55.1,66.4,,01/11/1998,5.4
486,1998,12,8.7,2.4,10,59.8,37.5,,01/12/1998,5.55
487,1999,1,9.1,2.4,6,50.2,68.6,,01/01/1999,5.75
488,1999,2,8.2,1.8,9,36.1,96.6,,01/02/1999,5
489,1999,3,11.7,4,2,40.9,103.4,,01/03/1999,7.85
490,1999,4,14.3,5.2,3,33,153.8,,01/04/1999,9.75
491,1999,5,18.3,8.3,0,49.8,161.4,,01/05/1999,13.3
492,1999,6,19.2,9.7,0,89,197.9,,01/06/1999,14.45
493,1999,7,24.5,12.5,0,24.5,233.2,,01/07/1999,18.5
494,1999,8,21.6,12.4,0,92.5,138.7,,01/08/1999,17
495,1999,9,21.3,11.9,0,76.4,148.5,,01/09/1999,16.6
496,1999,10,14.9,7.3,0,43.7,137,,01/10/1999,11.1
497,1999,11,10.6,5.1,0,25.3,63.3,,01/11/1999,7.85
498,1999,12,7.8,1.8,8,63.1,76.1,,01/12/1999,4.8
499,2000,1,8.1,1.8,11,20.5,78.6,,01/01/2000,4.95
500,2000,2,9.8,2.8,5,50.7,106.4,,01/02/2000,6.3
501,2000,3,11.2,4,2,14.6,109.2,,01/03/2000,7.6
502,2000,4,12.4,4.5,4,85.9,138,,01/04/2000,8.45
503,2000,5,16.8,8.5,0,83.8,161.2,,01/05/2000,12.65
504,2000,6,20.5,11.3,0,17.5,162,,01/06/2000,15.9
505,2000,7,20.1,11.8,0,60.7,126.9,,01/07/2000,15.95
506,2000,8,23.1,12.6,0,21.1,207.7,,01/08/2000,17.85
507,2000,9,20,12.6,0,68.1,126.5,,01/09/2000,16.3
508,2000,10,14,8,0,108,98.7,,01/10/2000,11
509,2000,11,10.4,3.8,2,108.8,69.6,,01/11/2000,7.1
510,2000,12,8.1,3.5,9,59.6,50,,01/12/2000,5.8
511,2001,1,6.1,0.4,14,47.2,83.8,,01/01/2001,3.25
512,2001,2,8.2,0.9,14,72.4,77.2,,01/02/2001,4.55
513,2001,3,9,2,8,77.4,87.7,,01/03/2001,5.5
514,2001,4,12.1,3.9,1,62.6,132,,01/04/2001,8
515,2001,5,18.5,7.2,0,17.5,220.7,,01/05/2001,12.85
516,2001,6,19.9,9.6,0,22.8,194,,01/06/2001,14.75
517,2001,7,23.1,13.2,0,55.1,178.7,,01/07/2001,18.15
518,2001,8,22.9,13.3,0,65.8,180.5,,01/08/2001,18.1
519,2001,9,17.3,10.1,0,68.9,114.9,,01/09/2001,13.7
520,2001,10,17.3,10.9,0,128.9,107.7,,01/10/2001,14.1
521,2001,11,10.6,4,4,36.4,73.7,,01/11/2001,7.3
522,2001,12,6.2,0.4,18,19.3,72,,01/12/2001,3.3
523,2002,1,8.9,2.6,8,33,48.8,,01/01/2002,5.75
524,2002,2,10.7,3.7,4,50.4,82.5,,01/02/2002,7.2
525,2002,3,12,3,7,30.6,122.9,,01/03/2002,7.5
526,2002,4,14.7,4.2,2,33.4,196.2,,01/04/2002,9.45
527,2002,5,16.6,7.9,0,53.5,180.2,,01/05/2002,12.25
528,2002,6,20.1,10.3,0,28.5,182.1,,01/06/2002,15.2
529,2002,7,22,12.3,0,94.6,172.2,,01/07/2002,17.15
530,2002,8,22.9,13.2,0,42,143.8,,01/08/2002,18.05
531,2002,9,19.6,10,0,23.5,147.6,,01/09/2002,14.8
532,2002,10,14.3,6.7,0,67.7,94.4,,01/10/2002,10.5
533,2002,11,11.4,5.7,2,85.9,47.3,,01/11/2002,8.55
534,2002,12,8.2,,,85.1,20.4,,01/12/2002,
535,2003,1,7,1.6,12,78.6,53,,01/01/2003,4.3
536,2003,2,7.8,0.8,12,12.9,101.5,,01/02/2003,4.3
537,2003,3,12.9,2.4,8,13.7,164,,01/03/2003,7.65
538,2003,4,15.1,4.5,4,24.2,178.3,,01/04/2003,9.8
539,2003,5,17.5,7.5,0,39.9,190,,01/05/2003,12.5
540,2003,6,22.1,11.5,0,60.7,210,,01/06/2003,16.8
541,2003,7,23.7,13.3,0,66.8,184.6,,01/07/2003,18.5
542,2003,8,25.3,13.3,0,2,214.1,,01/08/2003,19.3
543,2003,9,21.3,8.9,0,15.7,196.3,,01/09/2003,15.1
544,2003,10,14,4.8,1,30,141.8,,01/10/2003,9.4
545,2003,11,11.7,5.9,1,80.8,72.9,,01/11/2003,8.8
546,2003,12,8.1,2.3,7,46,57.8,,01/12/2003,5.2
547,2004,1,8.1,2.7,7,69.6,49.2,,01/01/2004,5.4
548,2004,2,8.1,3.3,11,34.3,72.6,,01/02/2004,5.7
549,2004,3,10.5,3.2,3,24.7,96.2,,01/03/2004,6.85
550,2004,4,14.2,5.5,0,41.4,138.9,,01/04/2004,9.85
551,2004,5,16.9,7.9,0,44.5,162.7,,01/05/2004,12.4
552,2004,6,21.2,11.2,0,34,190.9,,01/06/2004,16.2
553,2004,7,22,11.6,0,59.3,173.8,,01/07/2004,16.8
554,2004,8,24,14.1,0,70.7,184.8,,01/08/2004,19.05
555,2004,9,20.6,11.1,0,18.7,169.8,,01/09/2004,15.85
556,2004,10,15,7.8,0,67.2,99,,01/10/2004,11.4
557,2004,11,10.5,5.5,3,45.4,56.6,,01/11/2004,8
558,2004,12,8.4,2.5,9,32.2,51.4,,01/12/2004,5.45
559,2005,1,9.2,3.1,5,28.3,66.3,,01/01/2005,6.15
560,2005,2,7.1,1.9,9,22.3,67,,01/02/2005,4.5
561,2005,3,10.7,3.8,7,19.8,66,,01/03/2005,7.25
562,2005,4,14.2,4.3,4,27.7,130.6,,01/04/2005,9.25
563,2005,5,16.6,7,0,47.4,197.6,,01/05/2005,11.8
564,2005,6,21.8,10.9,0,47.1,175.8,,01/06/2005,16.35
565,2005,7,22,12.8,0,43.7,157.5,,01/07/2005,17.4
566,2005,8,22.6,11.5,0,53.3,182.5,,01/08/2005,17.05
567,2005,9,21.1,11.3,0,166.2,148.1,,01/09/2005,16.2
568,2005,10,17.4,10.5,0,61.2,107.1,,01/10/2005,13.95
569,2005,11,10.1,3,9,47.2,101,,01/11/2005,6.55
570,2005,12,7.8,1.8,10,18,75.1,,01/12/2005,4.8
571,2006,1,7,1.5,12,19.8,48.8,,01/01/2006,4.25
572,2006,2,7,1.5,5,25.2,71.1,,01/02/2006,4.25
573,2006,3,9,1.7,12,35.9,105.2,,01/03/2006,5.35
574,2006,4,13.5,5.1,3,30.1,144.5,,01/04/2006,9.3
575,2006,5,17.4,8.7,0,62.8,155.7,,01/05/2006,13.05
576,2006,6,22.5,11.2,0,18.9,220.2,,01/06/2006,16.85
577,2006,7,28.3,14.1,0,45.1,253.5,,01/07/2006,21.2
578,2006,8,21.5,12.2,0,74.9,152.5,,01/08/2006,16.85
579,2006,9,22.7,13.4,0,50,164.7,,01/09/2006,18.05
580,2006,10,17.5,10.5,0,43.2,111.4,,01/10/2006,14
581,2006,11,12.5,5.1,2,64.8,109,,01/11/2006,8.8
582,2006,12,9.7,3.3,6,50.5,41,,01/12/2006,6.5
583,2007,1,10.4,3.8,5,68.5,66.2,,01/01/2007,7.1
584,2007,2,9.7,2.3,8,50.9,70.4,,01/02/2007,6
585,2007,3,12.1,,,25.7,161.1,,01/03/2007,
586,2007,4,17.1,,,1,183.1,,01/04/2007,
587,2007,5,16.9,,,124.3,121.7,,01/05/2007,
588,2007,6,20.4,11.1,0,59,148.9,,01/06/2007,15.75
589,2007,7,21.6,11,0,62.1,189.7,,01/07/2007,16.3
590,2007,8,21.6,10.8,0,51.1,180.4,,01/08/2007,16.2
591,2007,9,19.5,10,0,25.2,158.1,,01/09/2007,14.75
592,2007,10,15.2,7.2,0,56.4,97.3,,01/10/2007,11.2
593,2007,11,11.1,3.7,5,36.3,77.2,,01/11/2007,7.4
594,2007,12,8.5,1.9,12,38.2,51.9,,01/12/2007,5.2
595,2008,1,10.3,3.8,0,58,63.2,,01/01/2008,7.05
596,2008,2,9.9,0.6,11,12.8,105.2,,01/02/2008,5.25
597,2008,3,10.1,3,5,68.9,117,,01/03/2008,6.55
598,2008,4,13.1,3.8,3,50.8,158.2,,01/04/2008,8.45
599,2008,5,19,7.9,0,62.9,173.9,,01/05/2008,13.45
600,2008,6,19.7,10.4,0,34.6,181.8,,01/06/2008,15.05
601,2008,7,22.8,12.4,0,52.1,188.1,,01/07/2008,17.6
602,2008,8,22.3,13.3,0,64.7,122.7,,01/08/2008,17.8
603,2008,9,18.6,9.6,0,59.5,103.3,,01/09/2008,14.1
604,2008,10,14.4,6.1,1,56.2,130.3,,01/10/2008,10.25
605,2008,11,10.3,4.7,5,68.8,55.5,,01/11/2008,7.5
606,2008,12,6.6,1.4,11,21.3,68,,01/12/2008,4
607,2009,1,5.8,0.2,13,40.9,46.2,,01/01/2009,3
608,2009,2,7.1,1.8,13,47.9,42.1,,01/02/2009,4.45
609,2009,3,11.9,2.8,6,32.2,149.7,,01/03/2009,7.35
610,2009,4,15.6,5.4,0,12.6,166.1,,01/04/2009,10.5
611,2009,5,18.3,7.7,0,28.4,204,,01/05/2009,13
612,2009,6,20.9,10.2,0,,,,01/06/2009,15.55
613,2009,7,22.5,12.1,0,71,,,01/07/2009,17.3
614,2009,8,23.6,13.1,0,58.6,,,01/08/2009,18.35
615,2009,9,20.1,10.5,0,10,,,01/09/2009,15.3
616,2009,10,15.7,8.3,0,32.2,,,01/10/2009,12
617,2009,11,12,6.5,0,89.8,,,01/11/2009,9.25
618,2009,12,6.2,0.6,12,63.2,,,01/12/2009,3.4
619,2010,1,3.9,-0.4,15,46.6,,,01/01/2010,1.75
620,2010,2,6.1,0.4,12,70.6,,,01/02/2010,3.25
621,2010,3,10.9,2.8,9,26.2,,,01/03/2010,6.85
622,2010,4,14.9,3.7,3,12.5,,,01/04/2010,9.3
623,2010,5,16.5,5.9,2,28.6,,,01/05/2010,11.2
624,2010,6,21.6,10,0,25.4,,,01/06/2010,15.8
625,2010,7,24.6,13.8,0,10.8,,,01/07/2010,19.2
626,2010,8,21,12.2,0,133.2,,,01/08/2010,16.6
627,2010,9,19,10.5,0,46.4,,,01/09/2010,14.75
628,2010,10,14.7,7.7,0,39,,,01/10/2010,11.2
629,2010,11,8.4,3,9,22.4,,,01/11/2010,5.7
630,2010,12,2.8,-2.7,23,19.8,,,01/12/2010,0.05
631,2011,1,6.8,2.2,7,52.4,,,01/01/2011,4.5
632,2011,2,9.6,4,2,28.2,,,01/02/2011,6.8
633,2011,3,11.6,2.7,5,1.8,,,01/03/2011,7.15
634,2011,4,18.6,6.5,0,2,,,01/04/2011,12.55
635,2011,5,18.7,7.8,1,12.8,,,01/05/2011,13.25
636,2011,6,20.3,9.9,0,53,,,01/06/2011,15.1
637,2011,7,21.2,10.9,0,,,,01/07/2011,16.05
638,2011,8,21.6,11.9,0,40.2,,,01/08/2011,16.75
639,2011,9,21.2,11.3,0,31.6,,,01/09/2011,16.25
640,2011,10,17.9,9.3,0,15.8,,,01/10/2011,13.6
641,2011,11,13.3,6.6,2,28,,,01/11/2011,9.95
642,2011,12,9.1,3.2,3,43,,,01/12/2011,6.15
643,2012,1,9.1,2.8,7,39,,,01/01/2012,5.95
644,2012,2,7,0.1,12,17.4,,,01/02/2012,3.55
645,2012,3,13.3,2.6,5,23.4,,,01/03/2012,7.95
646,2012,4,12.2,3.9,2,95.6,,,01/04/2012,8.05
647,2012,5,16.9,7.9,0,42.6,,,01/05/2012,12.4
648,2012,6,18.5,10.4,0,91.4,,,01/06/2012,14.45
649,2012,7,21.2,12,0,101.4,,,01/07/2012,16.6
650,2012,8,23.5,12.9,0,39.2,,,01/08/2012,18.2
651,2012,9,19.3,8.9,0,30,,,01/09/2012,14.1
652,2012,10,13.5,6.9,0,78.6,,,01/10/2012,10.2
653,2012,11,10,4,2,71,,,01/11/2012,7
654,2012,12,8.1,2.1,10,,,,01/12/2012,5.1
655,2013,1,5.8,0.5,16,39.8,,,01/01/2013,3.15
656,2013,2,6,0.6,9,19.6,,,01/02/2013,3.3
657,2013,3,6.2,0.1,16,38.6,,,01/03/2013,3.15
658,2013,4,13.2,3.4,11,26.4,,,01/04/2013,8.3
659,2013,5,15.9,6.1,1,52,,,01/05/2013,11
660,2013,6,19.2,9.7,0,14.2,,,01/06/2013,14.45
661,2013,7,25.1,12.8,0,32.8,,,01/07/2013,18.95
662,2013,8,23.5,13,0,48.2,,,01/08/2013,18.25
663,2013,9,19,10,0,34.8,,,01/09/2013,14.5
664,2013,10,16.2,9.8,0,78.2,,,01/10/2013,13
665,2013,11,9.6,3.7,2,40.2,,,01/11/2013,6.65
666,2013,12,9.7,3.1,1,36,,,01/12/2013,6.4
667,2014,1,9.2,3.1,4,103.6,,,01/01/2014,6.15
668,2014,2,9.8,3.8,0,61.2,,,01/02/2014,6.8
669,2014,3,13.4,3.4,4,17.4,,,01/03/2014,8.4
670,2014,4,15.9,6.3,2,13.8,,,01/04/2014,11.1
671,2014,5,17.7,8.7,0,84.6,,,01/05/2014,13.2
672,2014,6,20.8,10.7,0,44.4,,,01/06/2014,15.75
673,2014,7,24.4,13.5,0,49.2,,,01/07/2014,18.95
674,2014,8,21,11.8,0,126.8,,,01/08/2014,16.4
675,2014,9,20.5,11,0,23,,,01/09/2014,15.75
676,2014,10,17,9.9,0,67.2,,,01/10/2014,13.45
677,2014,11,11.9,5.8,3,58.4,,,01/11/2014,8.85
678,2014,12,8.5,2.8,8,40.2,,,01/12/2014,5.65
679,2015,1,8,1.3,12,46.7,,,01/01/2015,4.65
680,2015,2,7.4,1.2,10,30.8,,,01/02/2015,4.3
681,2015,3,11.1,3.1,4,19.4,,,01/03/2015,7.1
682,2015,4,15,4.1,0,20.2,,,01/04/2015,9.55
683,2015,5,16.5,7.5,2,42.2,,,01/05/2015,12
684,2015,6,20.3,9.5,0,19,,,01/06/2015,14.9
685,2015,7,22.5,12.3,0,78.8,,,01/07/2015,17.4
686,2015,8,22.2,12.7,0,47.4,,,01/08/2015,17.45
687,2015,9,18.1,8.6,0,32.8,,,01/09/2015,13.35
688,2015,10,15.1,7.8,0,49.8,,,01/10/2015,11.45
689,2015,11,13.3,6.7,2,49,,,01/11/2015,10
690,2015,12,13.2,7.6,0,49.8,,,01/12/2015,10.4
691,2016,1,8.7,2.6,4,49.8,,,01/01/2016,5.65
692,2016,2,8.8,1.9,11,24.6,,,01/02/2016,5.35
693,2016,3,10,1.9,8,50.4,,,01/03/2016,5.95
694,2016,4,12.4,3.6,3,58.8,,,01/04/2016,8
695,2016,5,17.7,7.8,0,39.4,,,01/05/2016,12.75
696,2016,6,19.7,11.4,0,66.4,,,01/06/2016,15.55
697,2016,7,23.2,13.1,0,18.2,,,01/07/2016,18.15
698,2016,8,23.9,12.7,0,44,,,01/08/2016,18.3
699,2016,9,21.8,12.6,0,45.2,,,01/09/2016,17.2
700,2016,10,15,7.2,0,19.6,,,01/10/2016,11.1
701,2016,11,9.6,2.4,6,56.8,,,01/11/2016,6
702,2016,12,9.4,2.4,9,25.4,,,01/12/2016,5.9
703,2017,1,6.7,0.5,15,48,,,01/01/2017,3.6
704,2017,2,9.3,3.8,1,43.4,,,01/02/2017,6.55
705,2017,3,13.4,5.2,1,29.8,,,01/03/2017,9.3
706,2017,4,14.5,4.8,2,12.8,,,01/04/2017,9.65
707,2017,5,18.6,8.8,0,64.8,,,01/05/2017,13.7
708,2017,6,21.9,12.6,0,59,,,01/06/2017,17.25
709,2017,7,22.1,13.2,0,94.8,,,01/07/2017,17.65
710,2017,8,21.5,11.9,0,64.2,,,01/08/2017,16.7
711,2017,9,18.3,9.8,0,58.6,,,01/09/2017,14.05
712,2017,10,16.3,9.1,0,22.4,,,01/10/2017,12.7
713,2017,11,10.2,3.6,4,36.6,,,01/11/2017,6.9
714,2017,12,7.5,1.9,11,70.8,,,01/12/2017,4.7
715,2018,1,8.5,2.4,7,47.4,,,01/01/2018,5.45
716,2018,2,5.9,-0.3,17,32,,,01/02/2018,2.8
717,2018,3,8.7,1.9,6,64.2,,,01/03/2018,5.3
718,2018,4,14.2,6.6,0,64.6,,,01/04/2018,10.4
719,2018,5,19.1,7.6,0,43.8,,,01/05/2018,13.35
720,2018,6,22,10.7,0,0.8,,,01/06/2018,16.35
721,2018,7,26.7,13.6,0,12.4,,,01/07/2018,20.15
722,2018,8,23.1,13.1,0,62.8,,,01/08/2018,18.1
723,2018,9,19.9,9.5,0,23.6,,,01/09/2018,14.7
724,2018,10,15.8,7.1,2,61.4,,,01/10/2018,11.45
725,2018,11,11.4,5.2,1,29.6,,,01/11/2018,8.3
726,2018,12,9.8,4.2,2,55.2,,,01/12/2018,7
727,2019,1,6.7,1,13,22.1,,,01/01/2019,3.85
728,2019,2,11.6,1.7,11,26.6,,,01/02/2019,6.65
729,2019,3,12.2,4.5,1,37.4,,,01/03/2019,8.35
730,2019,4,15,2.8,7,10.8,,,01/04/2019,8.9
731,2019,5,17.1,6.6,0,41.4,,,01/05/2019,11.85
732,2019,6,20.1,10.8,0,79.2,,,01/06/2019,15.45
733,2019,7,24.1,13.4,0,43.4,,,01/07/2019,18.75
734,2019,8,24.2,12.7,0,35.8,,,01/08/2019,18.45
735,2019,9,20.2,10.2,0,62.4,,,01/09/2019,15.2
736,2019,10,14.3,6.9,1,78,,,01/10/2019,10.6
737,2019,11,9.3,3.6,5,57,,,01/11/2019,6.45
738,2019,12,9,3,6,75.4,,,01/12/2019,6
739,2020,1,9.1,3.9,4,49.8,,,01/01/2020,6.5
740,2020,2,10.2,3.2,4,66,,,01/02/2020,6.7
741,2020,3,11.1,2.5,4,18.8,,,01/03/2020,6.8
742,2020,4,16.8,4.6,1,29.8,,,01/04/2020,10.7
743,2020,5,19.4,6.7,2,1.6,,,01/05/2020,13.05
744,2020,6,21.2,10.6,0,47.2,,,01/06/2020,15.9
745,2020,7,21.9,12.4,0,50.6,,,01/07/2020,17.15
746,2020,8,23.9,14.3,0,104,,,01/08/2020,19.1
747,2020,9,20.1,9.8,0,51.4,,,01/09/2020,14.95
748,2020,10,14.1,8.2,0,116.4,,,01/10/2020,11.15
749,2020,11,12,5.3,2,30.8,,,01/11/2020,8.65
750,2020,12,7.4,2.6,8,97.3,,,01/12/2020,5
751,2021,1,5.7,0.6,14,81,,,01/01/2021,3.15
752,2021,2,8.3,2,12,46.2,,,01/02/2021,5.15
753,2021,3,10.8,3.5,3,39,,,01/03/2021,7.15
754,2021,4,11.7,1.1,13,2.8,,,01/04/2021,6.4
755,2021,5,15.3,6.4,1,73.8,,,01/05/2021,10.85
756,2021,6,21.2,12.1,0,44.2,,,01/06/2021,16.65
757,2021,7,23.5,13.2,0,52.6,,,01/07/2021,18.35
758,2021,8,21.1,12.6,0,16.4,,,01/08/2021,16.85
759,2021,9,21.8,12,0,78,,,01/09/2021,16.9
760,2021,10,16.2,9,0,70.4,,,01/10/2021,12.6
761,2021,11,11,4.3,6,14.6,,,01/11/2021,7.65
762,2021,12,9.3,4.3,1,63.8,,,01/12/2021,6.8
763,2022,1,8.4,1.2,14,16.6,,,01/01/2022,4.8
764,2022,2,10.9,3.6,2,58.8,,,01/02/2022,7.25
765,2022,3,12.9,3.7,1,33.8,,,01/03/2022,8.3
766,2022,4,15.1,4.3,4,5.2,,,01/04/2022,9.7
767,2022,5,18.9,8.9,0,32.4,,,01/05/2022,13.9
768,2022,6,21.6,10.2,0,34.4,,,01/06/2022,15.9
769,2022,7,26.1,13.3,0,1,,,01/07/2022,19.7
770,2022,8,26.6,13.4,0,21.2,,,01/08/2022,20
771,2022,9,20.4,10.7,0,32,,,01/09/2022,15.55
772,2022,10,18.3,9.4,0,74.2,,,01/10/2022,13.85
773,2022,11,12.6,7,0,96.2,,,01/11/2022,9.8
774,2022,12,7,0.1,11,40.2,,,01/12/2022,3.55
775,2023,1,8.7,1.7,10,31.6,,Provisional,01/01/2023,5.2
776,2023,2,10.8,2.6,10,7.2,,Provisional,01/02/2023,6.7
777,2023,3,11,4.3,4,113.8,,Provisional,01/03/2023,7.65
778,2023,4,14,4.8,2,41.8,,Provisional,01/04/2023,9.4
779,2023,5,17.2,8,0,,,Provisional,01/05/2023,12.6
780,2023,6,24,11.3,0,25,,Provisional,01/06/2023,17.65
781,2023,7,22.6,12.6,0,62.8,,Provisional,01/07/2023,17.6
782,2023,8,23.1,12.2,0,62.4,,Provisional,01/08/2023,17.65
783,2023,9,23.8,12.7,0,60.8,,Provisional,01/09/2023,18.25
784,2023,10,17.5,9.4,0,138.6,,Provisional,01/10/2023,13.45
785,2023,11,10.9,4.5,4,54.8,,Provisional,01/11/2023,7.7
786,2023,12,10.1,5,5,67.6,,Provisional,01/12/2023,7.55
787,2024,1,8.1,2.4,9,51.6,,Provisional,01/01/2024,5.25
